segment_1|Quỳnh Lam xin mến chào quý vị và các bạn đang đến với kênh audio truyện hay.
segment_2|Quý vị và các bạn thân mến, người ta vẫn nói nhân quả báo ứng, hiện ác hữu hồi.
segment_3|Có những tội lỗi tưởng chừng có thể chôn vùi dưới lớp đất lạnh, nhưng rồi cũng có ngày bị đào lên.
segment_4|Có những sai lầm cứ ngỡ có thể che giấu mãi mãi, nhưng đến lúc trời cao mở mắt, quỷ thần chứng giám, tất cả đều bị phơi bày.
segment_5|Đêm mưa lạnh lẽo, nghĩa địa hoang vu, một ngôi mộ mới đắp trở thành mục tiêu của kẻ tam lam.
segment_6|Chúng không biết rằng bên dưới lớp đất đó không chỉ có vàng bạc mà còn là nỗi oán hờn, là linh hồn chưa yên nghỉ.
segment_7|Đào mồ trộm của, tưởng rằng sẽ đổi đời, nhưng đổi lại chỉ là sự trừng phạt ghê rợn từ cõi âm.
segment_8|Câu chuyện hôm nay là một lời nhắc nhở về nhân quả, về những tội lỗi không thể dung thứ.
segment_9|Sau đây, xin mời quý vị và các bạn cùng nghe truyện.
segment_10|Trời đã đổ về tinh mơ, đâu đó trong làng tiếng gà đã gáy, nhưng thanh âm thảng thốt đó rất nhanh tan loãng vào trong không khí buồn thảm.
segment_11|Khung cảnh làng quê vẫn chìm trong một màn sương trắng đục, cảnh vật quạnh quẽ như một ngôi làng của người âm, vì người ta còn chưa trở dậy.
segment_12|Vậy mà ở khoảng sân gạch rộng thênh thang nhà ông bá kiệm, toàn bộ gia nô trong nhà ông bá đã tề tựu đông đủ.
segment_13|Tám đứa đầy tớ thân mặc áo tối màu, đi chân trần, đứng thành một vòng tròn đang lấm lét nhìn nhau bằng ánh mắt nửa ngạc nhiên, nửa như kinh sợ.
segment_14|Mấy bó đuốc ngồn ngộn cháy đượm, hắt luồng sáng đủ để soi tỏ một sự việc rất đỗi éo le.
segment_15|Bởi lẽ giữa vòng tròn ấy có một thân người nằm co quắp, quần áo sộc sệch, mặt sưng phù vì đòn roi.
segment_16|Vương vãi xung quanh thân người đó là hằng ha sa số vàng bạc trắng nằm lăn lóc.
segment_17|Kẻ ấy không ai khác ngoài thằng Jano tên danh.
segment_18|Danh năm nay mới tròn nhị tuần, làm công cho một gia đình ông bá hơn một năm và tỏ ra là một tay mẫn cán rất được lòng ông bà chủ.
segment_19|Ngoái mặt vào trong, ông bá thấy vợ mình đang dìu bà cụ thân sinh đi ra.
segment_20|Ở trên bậc tam cấp, ông Bá Kiệm đang đi đi lại lại, mặt hầm hầm lửa giận và cái roi ra cá trên tay ông kéo lê theo mỗi nhịp di chuyển.
segment_21|Từ bên trong nhà có tiếng nói thều thào vọng ra như van lơn, Thôi thôi nhà ông Kiệm ơi, còn đánh nữa thì nó chết thì phải tội.
segment_22|Bà cụ thân sinh ra ông bá tên là Nhâm, năm nay ngót bát tuần, đổ bệnh mấy tháng nay và chẳng mấy khi rời giường.
segment_23|Nhắc thấy bu mình lê những bước chân nặng nề tiến ra, ông bá cả kinh bỏ vội cái soi ra cá.
segment_24|Ông tiến lại đỡ tay bu mình rồi dịu giọng.
segment_25|Chết thật, sao bu lại ra đây thế này? Trời còn đương tối lắm, bu vào nhà kẻo mà trúng cơn gió độc thì nguy to.
segment_26|Gạt tay con trai ra, bà cụ nói sẵn.
segment_27|Vợ anh không vào gọi tôi thì ai cản cơn giận của anh cho được?
segment_28|Thế làm sao mà lại đánh nó thân tàn ma dại thế kia?
segment_29|"Sao mày dại dột thế hả danh? Thiếu thốn cái gì sao không xin thẳng ông bà chủ mà lại làm cái trò trộm cắp thế hả?"
segment_30|Hỏi xong bà cụ lại thúng thắng ho vài tiếng.
segment_31|Nghe bu mình cơi lại chuyện cũ, ông bá lại trào sôi lửa giận.
segment_32|Ông tiến thẳng ra sân, trỏ tay vào thằng Gianô đang nằm trong vũng máu rồi tức tối phân bua.
segment_33|Đây bu xem, thằng này nó nhân lúc đêm hôm trời tối, dám lẻn vào nhà trộm cắp, bị con và thằng bồi rình bắt được tận tay.
segment_34|Bảo sao dạo này tiền vàng trong nhà hao hụt đi lắm thế?
segment_35|Ra là mình nuôi quân phản phúc trong nhà.
segment_36|Bà cụ nheo mắt nhìn, sau đó thều thào nói,
segment_37|Thấy con trai đang cơn lửa giận, bà cụ mệt nhọc can.
segment_38|Thôi nhà anh kiệm ạ, chín bỏ làm 10, đánh nó thế được rồi, cứ mở cho nó cái đức hiếu sinh.
segment_39|Ông bá quả quyết.
segment_40|Trước nay bu dạy gì con cũng xin vâng, nhưng lần này thì con xin trái ý.
